Avg: [4.973] Min: [4.952] Max: [5.050]
Avg: [4.963] Min: [4.950] Max: [4.976]
Avg: [4.961] Min: [4.948] Max: [4.973]
Avg: [4.964] Min: [4.947] Max: [5.021]
Avg: [4.960] Min: [4.946] Max: [4.973]
Avg: [4.961] Min: [4.947] Max: [4.972]
Avg: [4.965] Min: [4.949] Max: [4.988]
Avg: [4.963] Min: [4.953] Max: [4.973]
Avg: [4.959] Min: [4.945] Max: [4.973]
Avg: [4.961] Min: [4.934] Max: [4.999]
Avg: [4.965] Min: [4.954] Max: [4.976]
Avg: [4.964] Min: [4.945] Max: [4.977]
Avg: [4.963] Min: [4.945] Max: [4.993]
Avg: [4.963] Min: [4.950] Max: [4.973]
Avg: [4.961] Min: [4.939] Max: [4.973]
Avg: [4.966] Min: [4.949] Max: [4.994]
Avg: [4.961] Min: [4.941] Max: [4.972]
Avg: [4.965] Min: [4.951] Max: [4.975]
Avg: [4.967] Min: [4.951] Max: [4.992]
Avg: [4.965] Min: [4.950] Max: [4.973]
Avg: [4.964] Min: [4.948] Max: [4.973]
Avg: [4.965] Min: [4.946] Max: [4.992]
Avg: [4.963] Min: [4.944] Max: [4.974]
Avg: [4.962] Min: [4.952] Max: [4.977]
Avg: [4.961] Min: [4.946] Max: [4.992]
Avg: [4.960] Min: [4.951] Max: [4.970]
Avg: [4.961] Min: [4.947] Max: [4.973]
Avg: [4.965] Min: [4.951] Max: [5.001]
Avg: [4.959] Min: [4.950] Max: [4.970]
Avg: [4.969] Min: [4.951] Max: [5.112]
Avg: [4.965] Min: [4.951] Max: [4.991]
Avg: [4.962] Min: [4.951] Max: [4.974]
Avg: [4.960] Min: [4.949] Max: [4.972]
Avg: [4.963] Min: [4.942] Max: [4.998]
Avg: [4.960] Min: [4.948] Max: [4.967]
Avg: [4.962] Min: [4.949] Max: [4.971]
Avg: [4.963] Min: [4.945] Max: [4.986]
Avg: [4.964] Min: [4.954] Max: [4.973]
Avg: [4.962] Min: [4.948] Max: [4.972]
Avg: [4.965] Min: [4.946] Max: [4.991]
Avg: [4.963] Min: [4.943] Max: [4.974]
Avg: [4.963] Min: [4.949] Max: [4.976]
Avg: [4.965] Min: [4.951] Max: [4.992]
Avg: [4.961] Min: [4.947] Max: [4.975]
Avg: [4.963] Min: [4.945] Max: [4.971]
Avg: [4.963] Min: [4.949] Max: [4.972]
Avg: [4.966] Min: [4.948] Max: [4.997]
Avg: [4.965] Min: [4.955] Max: [4.973]
Avg: [4.961] Min: [4.944] Max: [4.972]
Avg: [4.966] Min: [4.955] Max: [4.993]
Avg: [4.963] Min: [4.952] Max: [4.974]
Avg: [4.964] Min: [4.946] Max: [4.977]
Avg: [4.967] Min: [4.957] Max: [4.998]
Avg: [4.967] Min: [4.953] Max: [5.006]
Avg: [4.966] Min: [4.959] Max: [4.976]
Avg: [4.966] Min: [4.955] Max: [4.985]
Avg: [4.962] Min: [4.950] Max: [4.977]
Avg: [4.964] Min: [4.951] Max: [4.979]
Avg: [4.964] Min: [4.946] Max: [4.993]
Avg: [4.961] Min: [4.947] Max: [4.973]
Avg: [4.961] Min: [4.940] Max: [4.973]
Avg: [4.966] Min: [4.949] Max: [4.990]
Avg: [4.962] Min: [4.950] Max: [4.975]
Avg: [4.966] Min: [4.953] Max: [4.997]
Avg: [4.965] Min: [4.950] Max: [4.973]
Avg: [4.966] Min: [4.949] Max: [5.021]
Avg: [4.965] Min: [4.946] Max: [4.988]
Avg: [4.966] Min: [4.957] Max: [4.980]
Avg: [4.962] Min: [4.947] Max: [4.975]
Avg: [4.964] Min: [4.956] Max: [4.975]
Avg: [4.966] Min: [4.954] Max: [4.989]
Avg: [4.964] Min: [4.954] Max: [4.976]
Avg: [4.963] Min: [4.952] Max: [4.973]
